id,signature,count
1,Ball Receipt*,73294
2,Carry,72307
3,Pressure,25382
4,Ball Receipt*|outcome=Incomplete,10363
5,Ball Recovery,7666
6,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Center Back,4851
7,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Back,4417
8,Block,3035
9,Duel|type=Aerial Lost,2991
10,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Back,2635
11,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Back,2609
12,Miscontrol,2259
13,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Center Back,2134
14,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Center Back,2014
15,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Defensive Midfield,2009
16,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Midfield,1926
17,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Center Midfield,1871
18,Dispossessed,1854
19,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Defensive Midfield,1803
20,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Wing,1707
21,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Defensive Midfield,1674
22,Dribbled Past,1524
23,Foul Committed,1516
24,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Wing,1470
25,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Goalkeeper,1324
26,Clearance|body_part=Head|head=True,1307
27,Dribble|outcome=Complete,1274
28,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Back,1236
29,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Forward,1228
30,Foul Won,1188
31,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Back,1100
32,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Center Midfield,1085
33,Clearance|body_part=Right Foot|right_foot=True,1035
34,Interception|outcome=Won,994
35,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Attacking Midfield,992
