feature,non_null_count
id,306890
index,306890
period,306890
timestamp,306890
minute,306890
second,306890
type.id,306890
type.name,306890
possession,306890
possession_team.id,306890
possession_team.name,306890
play_pattern.id,306890
play_pattern.name,306890
team.id,306890
team.name,306890
location,306890
location_bucket.x_bin,306890
location_bucket.y_bin,306890
location_bucket.label,306890
event_uuid,306890
match_id,306890
visible_area,306890
freeze_frame,306890
player.id,306869
player.name,306869
position.id,306869
position.name,306869
related_events,296029
duration,223233
pass.length,84951
pass.angle,84951
pass.height.id,84951
pass.height.name,84951
pass.end_location,84951
pass.body_part.name,84951
pass.type.name,84951
pass.backheel,84951
pass.deflected,84951
pass.miscommunication,84951
pass.cross,84951
pass.cut_back,84951
pass.switch,84951
pass.shot_assist,84951
pass.goal_assist,84951
pass.outcome.name,84951
pass.technique.name,84951
pass.length_bucket,84951
pass.angle_bucket,84951
pass.end_location_bucket.x_bin,84951
pass.end_location_bucket.y_bin,84951
pass.end_location_bucket.label,84951
pass.body_part.id,81104
pass.recipient_position.id,79759
pass.recipient_position.name,79759
carry.end_location,72307
under_pressure,57928
pass.outcome.id,15918
pass.type.id,12371
ball_receipt.outcome.id,10363
ball_receipt.outcome.name,10363
counterpress,9316
duel.type.id,5886
duel.type.name,5886
clearance.body_part.id,3927
clearance.body_part.name,3927
duel.outcome.id,2895
duel.outcome.name,2895
interception.outcome.id,2612
interception.outcome.name,2612
dribble.outcome.id,2569
dribble.outcome.name,2569
shot.statsbomb_xg,2436
shot.end_location,2436
shot.type.id,2436
shot.type.name,2436
shot.outcome.id,2436
shot.outcome.name,2436
shot.first_time,2436
shot.technique.id,2436
shot.technique.name,2436
shot.body_part.id,2436
shot.body_part.name,2436
shot.aerial_won,2436
shot.follows_dribble,2436
shot.open_goal,2436
shot.deflected,2436
shot.xg_bucket,2436
shot.end_location_bucket.x_bin,2436
shot.end_location_bucket.y_bin,2436
shot.end_location_bucket.label,2436
shot.freeze_frame,2409
out,2332
clearance.head,2191
pass.aerial_won,1766
shot.key_pass_zone.x_bin,1760
shot.key_pass_zone.y_bin,1760
shot.key_pass_zone.label,1760
goalkeeper.type.id,1440
goalkeeper.type.name,1440
goalkeeper.outcome.id,1258
goalkeeper.outcome.name,1258
clearance.right_foot,1035
goalkeeper.position.id,999
goalkeeper.position.name,999
pass.technique.id,996
clearance.aerial_won,884
goalkeeper.technique.id,817
goalkeeper.technique.name,817
ball_recovery.recovery_failure,668
clearance.left_foot,665
goalkeeper.body_part.id,640
goalkeeper.body_part.name,640
foul_won.defensive,589
pass.through_ball,486
pass.inswinging,299
foul_committed.advantage,260
foul_won.advantage,252
foul_committed.card.id,207
foul_committed.card.name,207
goalkeeper.end_location,182
pass.outswinging,171
dribble.nutmeg,169
50_50.outcome.id,154
50_50.outcome.name,154
dribble.overrun,152
off_camera,126
foul_committed.type.id,115
foul_committed.type.name,115
pass.no_touch,107
block.deflection,104
shot.one_on_one,95
miscontrol.aerial_won,92
block.offensive,56
foul_committed.offensive,56
pass.straight,40
clearance.other,36
ball_recovery.offensive,32
foul_committed.penalty,30
foul_won.penalty,23
goalkeeper.punched_out,18
block.save_block,17
dribble.no_touch,16
goalkeeper.shot_saved_to_post,14
shot.saved_off_target,12
goalkeeper.shot_saved_off_target,11
shot.saved_to_post,10
goalkeeper.success_in_play,3
shot.redirect,2
goalkeeper.lost_in_play,1
